Metabolite,Method,Pathway,HMDB_ID
L-Glutamic acid,Untargeted Lipidomics,Amino Acid Metabolism,HMDB0000148
Fructose 6-phosphate,Untargeted Lipidomics,Glycolysis,HMDB0000124
Propionylcarnitine,Targeted Metabolomics,Fatty Acid Oxidation,HMDB0000824
Inosine,Untargeted Metabolomics,Purine Metabolism,HMDB0000195
Oxalosuccinic acid,Untargeted Metabolomics,TCA Cycle,HMDB0003974
Adenosine,Untargeted Lipidomics,Purine Metabolism,HMDB0000050
Cer(d18:1/18:0),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0004950
Guanosine,Untargeted Metabolomics,Purine Metabolism,HMDB0000133
"Fructose 1,6-bisphosphate",Untargeted Metabolomics,Glycolysis,HMDB0001058
Malonylcarnitine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0002095
Cer(d18:1/20:0),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0004951
PC(16:0/18:1),Untargeted Lipidomics,Lipid Metabolism,HMDB0007972
3-Ketosphinganine,Targeted Metabolomics,Sphingolipid Metabolism,HMDB0001480
Xanthosine,Untargeted Lipidomics,Purine Metabolism,HMDB0000299
L-Glutamine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000641
Sphinganine,Untargeted Metabolomics,Sphingolipid Metabolism,HMDB0000269
Glycochenodeoxycholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000637
Taurochenodeoxycholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000951
Uridine 5'-monophosphate,Targeted Metabolomics,Nucleotide Metabolism,HMDB0000288
7alpha-Hydroxycholesterol,Untargeted Lipidomics,Bile Acid Metabolism,HMDB0001496
Oxoglutaric acid,Untargeted Lipidomics,TCA Cycle,HMDB0000208
Uridine 5'-diphosphate,Untargeted Metabolomics,Nucleotide Metabolism,HMDB0000295
Succinyl-CoA,Untargeted Metabolomics,TCA Cycle,HMDB0001022
"Fructose 2,6-bisphosphate",Untargeted Lipidomics,Glycolysis,HMDB0001047
Succinic acid,Untargeted Metabolomics,TCA Cycle,HMDB0000254
Sphingosine,Untargeted Metabolomics,Sphingolipid Metabolism,HMDB0000252
7alpha-Hydroxy-4-cholesten-3-one,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0001993
Dihydroxyacetone phosphate,Untargeted Lipidomics,Glycolysis,HMDB0001473
Phosphocholine,Untargeted Metabolomics,Lipid Metabolism,HMDB0001565
Adenosine monophosphate,Targeted Metabolomics,Purine Metabolism,HMDB0000045
Fumaric acid,Targeted Metabolomics,TCA Cycle,HMDB0000134
27-Hydroxycholesterol,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0002103
Sphingosine 1-phosphate,Untargeted Metabolomics,Sphingolipid Metabolism,HMDB0000277
L-Malic acid,Untargeted Lipidomics,TCA Cycle,HMDB0000156
Corticosterone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0001547
Deoxycholic acid,Targeted Lipidomics,Bile Acid Metabolism,HMDB0000626
Oxaloacetic acid,Untargeted Lipidomics,TCA Cycle,HMDB0000223
Palmitoylcarnitine,Untargeted Lipidomics,Fatty Acid Oxidation,HMDB0000222
ADP,Targeted Metabolomics,Purine Metabolism,HMDB0001341
Acetyl-CoA,Targeted Metabolomics,TCA Cycle,HMDB0001206
CDP-choline,Untargeted Metabolomics,Lipid Metabolism,HMDB0001413
18-Hydroxycorticosterone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000319
Uridine triphosphate,Untargeted Lipidomics,Nucleotide Metabolism,HMDB0000285
Glycerophosphocholine,Untargeted Metabolomics,Lipid Metabolism,HMDB0000086
Sphinganine 1-phosphate,Targeted Metabolomics,Sphingolipid Metabolism,HMDB0001383
Glyceraldehyde 3-phosphate,Targeted Metabolomics,Glycolysis,HMDB0001112
Aldosterone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000037
Butyrylcarnitine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0002013
"1,3-Bisphosphoglyceric acid",Targeted Metabolomics,Glycolysis,HMDB0001270
PC(16:0/18:2),Targeted Lipidomics,Lipid Metabolism,HMDB0007973
Lithocholic acid,Targeted Lipidomics,Bile Acid Metabolism,HMDB0000761
Cer(d18:1/22:0),Targeted Metabolomics,Sphingolipid Metabolism,HMDB0004952
3-Hydroxybutyrylcarnitine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0013127
Ursodeoxycholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000946
11-Deoxycortisol,Untargeted Lipidomics,Steroid Hormone Biosynthesis,HMDB0000015
Cytidine,Untargeted Lipidomics,Nucleotide Metabolism,HMDB0000089
Hyodeoxycholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000733
Cytidine monophosphate,Untargeted Metabolomics,Nucleotide Metabolism,HMDB0000095
Glycine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000123
L-Histidine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000177
L-Isoleucine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000172
Glycodeoxycholic acid,Targeted Lipidomics,Bile Acid Metabolism,HMDB0000631
Ethanolamine,Targeted Metabolomics,Lipid Metabolism,HMDB0000149
PC(18:0/18:2),Untargeted Lipidomics,Lipid Metabolism,HMDB0008039
Isovalerylcarnitine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0000688
Cortisol,Targeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000063
Cortisone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0002802
Cer(d18:1/24:0),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0004956
Adenosine triphosphate,Untargeted Metabolomics,Purine Metabolism,HMDB0000538
Inosinic acid,Untargeted Metabolomics,Purine Metabolism,HMDB0000175
Cytidine triphosphate,Untargeted Lipidomics,Nucleotide Metabolism,HMDB0000082
Glutarylcarnitine,Targeted Metabolomics,Fatty Acid Oxidation,HMDB0013130
Coenzyme A,Untargeted Metabolomics,TCA Cycle,HMDB0001423
3-Phosphoglyceric acid,Untargeted Lipidomics,Glycolysis,HMDB0000807
L-Leucine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000687
NAD,Targeted Metabolomics,TCA Cycle,HMDB0000902
Cer(d18:1/24:1),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0004953
Stearoylcarnitine,Untargeted Lipidomics,Fatty Acid Oxidation,HMDB0000848
Hexanoylcarnitine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0000756
L-Lysine,Targeted Lipidomics,Amino Acid Metabolism,HMDB0000182
NADH,Targeted Lipidomics,TCA Cycle,HMDB0001487
2-Phosphoglyceric acid,Untargeted Metabolomics,Glycolysis,HMDB0000362
Dehydroepiandrosterone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000077
Oleoylcarnitine,Untargeted Lipidomics,Fatty Acid Oxidation,HMDB0005065
O-Phosphoethanolamine,Targeted Metabolomics,Lipid Metabolism,HMDB0000224
Guanosine monophosphate,Targeted Metabolomics,Purine Metabolism,HMDB0001397
Thymine,Untargeted Metabolomics,Nucleotide Metabolism,HMDB0000262
Octanoylcarnitine,Targeted Metabolomics,Fatty Acid Oxidation,HMDB0000791
Phosphoenolpyruvic acid,Untargeted Lipidomics,Glycolysis,HMDB0000263
Dehydroepiandrosterone sulfate,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0001032
SM(d18:1/16:0),Untargeted Metabolomics,Sphingolipid Metabolism,HMDB0010169
Thymidine,Targeted Metabolomics,Nucleotide Metabolism,HMDB0000273
SM(d18:1/18:0),Targeted Metabolomics,Sphingolipid Metabolism,HMDB0001348
Androstenedione,Targeted Lipidomics,Steroid Hormone Biosynthesis,HMDB0000053
Guanosine diphosphate,Untargeted Lipidomics,Purine Metabolism,HMDB0001201
Guanosine triphosphate,Untargeted Lipidomics,Purine Metabolism,HMDB0001273
L-Methionine,Targeted Metabolomics,Amino Acid Metabolism,HMDB0000696
FAD,Targeted Metabolomics,TCA Cycle,HMDB0001248
FADH2,Untargeted Lipidomics,TCA Cycle,HMDB0001197
L-Phenylalanine,Targeted Lipidomics,Amino Acid Metabolism,HMDB0000159
PE(18:0/20:4),Untargeted Lipidomics,Lipid Metabolism,HMDB0009003
Testosterone,Targeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000234
CDP-ethanolamine,Targeted Metabolomics,Lipid Metabolism,HMDB0001564
Decanoylcarnitine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0000651
Dihydrotestosterone,Targeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0002961
Pyruvic acid,Untargeted Metabolomics,Glycolysis,HMDB0000243
Linoleyl carnitine,Targeted Lipidomics,Fatty Acid Oxidation,HMDB0006469
L-Proline,Untargeted Lipidomics,Amino Acid Metabolism,HMDB0000162
Xanthylic acid,Untargeted Metabolomics,Purine Metabolism,HMDB0001554
SM(d18:1/18:1),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0012101
SM(d18:1/24:0),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0011697
PA(16:0/18:1),Targeted Metabolomics,Lipid Metabolism,HMDB0007859
GlcCer(d18:1/16:0),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0004971
L-Lactic acid,Targeted Metabolomics,Glycolysis,HMDB0000190
Deoxyadenosine,Untargeted Lipidomics,Purine Metabolism,HMDB0000101
Malonyl-CoA,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0001175
Itaconic acid,Targeted Lipidomics,TCA Cycle,HMDB0002092
3-Hydroxybutyric acid,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0000357
DG(16:0/18:1/0:0),Targeted Lipidomics,Lipid Metabolism,HMDB0007102
D-2-Hydroxyglutaric acid,Targeted Lipidomics,TCA Cycle,HMDB0000606
"2,3-Bisphosphoglyceric acid",Untargeted Lipidomics,Glycolysis,HMDB0001294
TG(16:0/18:1/18:1),Untargeted Metabolomics,Lipid Metabolism,HMDB0005382
Deoxyguanosine,Targeted Lipidomics,Purine Metabolism,HMDB0000085
Palmitoyl-CoA,Untargeted Lipidomics,Fatty Acid Oxidation,HMDB0001338
Orotic acid,Targeted Lipidomics,Nucleotide Metabolism,HMDB0000226
D-Fructose,Targeted Lipidomics,Glycolysis,HMDB0000660
L-Serine,Untargeted Lipidomics,Amino Acid Metabolism,HMDB0000187
Glycerol 3-phosphate,Untargeted Lipidomics,Glycolysis,HMDB0000126
Deoxyinosine,Untargeted Metabolomics,Purine Metabolism,HMDB0000071
Taurodeoxycholic acid,Targeted Metabolomics,Bile Acid Metabolism,HMDB0000896
Acetoacetic acid,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0000060
Palmitic acid,Targeted Metabolomics,Fatty Acid Oxidation,HMDB0000220
Glycerol,Untargeted Metabolomics,Glycolysis,HMDB0000131
GlcCer(d18:1/18:0),Targeted Lipidomics,Sphingolipid Metabolism,HMDB0004972
Glycolithocholic acid,Targeted Metabolomics,Bile Acid Metabolism,HMDB0000698
Estrone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000145
Allantoin,Untargeted Metabolomics,Purine Metabolism,HMDB0000462
Cyclic AMP,Untargeted Metabolomics,Purine Metabolism,HMDB0000058
Cyclic GMP,Untargeted Metabolomics,Purine Metabolism,HMDB0001314
L-Threonine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000167
Estradiol,Untargeted Lipidomics,Steroid Hormone Biosynthesis,HMDB0000151
Oleic acid,Untargeted Lipidomics,Fatty Acid Oxidation,HMDB0000207
LacCer(d18:1/16:0),Untargeted Metabolomics,Sphingolipid Metabolism,HMDB0006750
L-Tryptophan,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000929
D-Mannose,Targeted Lipidomics,Glycolysis,HMDB0000169
Estriol,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000153
Androsterone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000031
Taurolithocholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000722
L-Tyrosine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000158
Glycoursodeoxycholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000708
L-Valine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000883
Mannose 6-phosphate,Targeted Metabolomics,Glycolysis,HMDB0001078
Arachidonic acid,Targeted Metabolomics,Lipid Metabolism,HMDB0001043
Tauroursodeoxycholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000874
D-Galactose,Untargeted Lipidomics,Glycolysis,HMDB0000143
Galactose 1-phosphate,Untargeted Lipidomics,Glycolysis,HMDB0000645
Glyceric acid,Untargeted Metabolomics,Glycolysis,HMDB0000139
Linoleic acid,Untargeted Lipidomics,Lipid Metabolism,HMDB0000673
Methylglyoxal,Untargeted Metabolomics,Glycolysis,HMDB0001167
Docosahexaenoic acid,Targeted Lipidomics,Lipid Metabolism,HMDB0002183
Myristic acid,Targeted Metabolomics,Fatty Acid Oxidation,HMDB0000806
Ganglioside GM3 (d18:1/16:0),Untargeted Metabolomics,Sphingolipid Metabolism,HMDB0004844
